"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn53176272","CT018_rhythmPA.wav","1","audio/wav","222124","3485738","1702905832110","3485738","1702905832110","syn53176264","https://www.synapse.org/#!Synapse:syn53176272.1","4eb608b84b6163af966744a598406c87"
"syn53176342","PZ001_rhythmPA.wav","1","audio/wav","222124","3485738","1702905935874","3485738","1702905935874","syn53176264","https://www.synapse.org/#!Synapse:syn53176342.1","04cabf3b731eaf9bd9f5f36522bf4b45"
"syn53175221","CT065_phonationE.wav","1","audio/wav","222764","3485738","1702903135825","3485738","1702903135825","syn53175169","https://www.synapse.org/#!Synapse:syn53175221.1","807a927a2fe7399d85ed8957a1b97c68"
"syn53176123","PZ064_rhythmKA.wav","1","audio/wav","223404","3485738","1702905560426","3485738","1702905560426","syn53175914","https://www.synapse.org/#!Synapse:syn53176123.1","2099b0aeb54a9e3b0ad28fbaa30591cb"
"syn53175107","PZ060_phonationA.wav","1","audio/wav","224044","3485738","1702902790870","3485738","1702902790870","syn53174987","https://www.synapse.org/#!Synapse:syn53175107.1","2d270e8c7cbd52c108c116589dd15e3f"
"syn53175338","PZ114_phonationE.wav","1","audio/wav","224044","3485738","1702903373755","3485738","1702903373755","syn53175169","https://www.synapse.org/#!Synapse:syn53175338.1","94b331336529b05262d5d7dc4166cb90"
"syn53175763","CT046_phonationU.wav","1","audio/wav","224044","3485738","1702904688214","3485738","1702904688214","syn53175731","https://www.synapse.org/#!Synapse:syn53175763.1","e75af51a659aa3a6962f242be96a9112"
"syn53175816","PZ026_phonationU.wav","1","audio/wav","224684","3485738","1702904797310","3485738","1702904797310","syn53175731","https://www.synapse.org/#!Synapse:syn53175816.1","bca9c86f03f40a82e464a8758dd30915"
"syn53175476","PZ060_phonationI.wav","1","audio/wav","225324","3485738","1702903919577","3485738","1702903919577","syn53175354","https://www.synapse.org/#!Synapse:syn53175476.1","85d2458e8deff69cfda8e0b4fdeedbc8"
"syn53175323","PZ099_phonationE.wav","1","audio/wav","226604","3485738","1702903344129","3485738","1702903344129","syn53175169","https://www.synapse.org/#!Synapse:syn53175323.1","06050d06e4e7e010196f7d58b30e4bc3"
"syn53176327","CT058_rhythmPA.wav","1","audio/wav","226604","3485738","1702905907643","3485738","1702905907643","syn53176264","https://www.synapse.org/#!Synapse:syn53176327.1","5b59294edf9047aa43f02f1d1600088d"
