Feature,Normality Speech Normal,Mean Speech Normal,Std Speech Normal,Median Speech Normal,IQR Speech Normal,Normality Speech Impaired,Mean Speech Impaired,Std Speech Impaired,Median Speech Impaired,IQR Speech Impaired,p-value Speech,Normality Swallowing Normal,Mean Swallowing Normal,Std Swallowing Normal,Median Swallowing Normal,IQR Swallowing Normal,Normality Swallowing Impaired,Mean Swallowing Impaired,Std Swallowing Impaired,Median Swallowing Impaired,IQR Swallowing Impaired,p-value Swallowing,Normality Bulbar 0,Mean Bulbar 0,Std Bulbar 0,Median Bulbar 0,IQR Bulbar 0,Normality Bulbar 1,Mean Bulbar 1,Std Bulbar 1,Median Bulbar 1,IQR Bulbar 1,Normality Bulbar 2,Mean Bulbar 2,Std Bulbar 2,Median Bulbar 2,IQR Bulbar 2,Normality Bulbar 3,Mean Bulbar 3,Std Bulbar 3,Median Bulbar 3,IQR Bulbar 3,Normality Bulbar 4,Mean Bulbar 4,Std Bulbar 4,Median Bulbar 4,IQR Bulbar 4,F-stat,p-value,p-value 0 vs. 1,p-value 0 vs. 2,p-value 0 vs. 3,p-value 0 vs. 4,p-value 1 vs. 2,p-value 1 vs. 3,p-value 1 vs. 4,p-value 2 vs. 3,p-value 2 vs. 4,p-value 3 vs. 4
duration_a,True,14.389870192307693,7.555922020104175,13.721,9.727218750000002,False,8.860396604166667,5.325226034719061,8.5843125,8.28886225,0.0001478523264494906,False,13.782600446428573,6.896530113974519,12.6834375,8.798812499999999,False,9.130605954545455,6.565070466315207,7.010375,8.63546875,0.0002892099887997418,True,13.019455151515151,6.275147593354241,11.878875,9.06875,True,11.988540322580647,6.225335106635332,10.183375,8.6755,True,10.895653846153845,6.421290538190169,9.58025,8.091000000000001,False,11.337851133333336,10.27372459554346,5.71325,15.3453125,True,7.57178125,5.770349244653519,5.929375,10.2375,5.907701159002736,0.20614805697448219,,,,,,,,,,
f0_mean_a,False,146.09253177917196,39.31800658682213,141.4951455442289,68.81638929436654,True,153.1548817074876,45.1715735489577,139.56986714805788,65.31091406771463,0.4989533487863228,False,148.90407632967552,43.3813945467174,140.5368777069468,72.28938725444186,False,150.21858409123902,41.049612581163174,139.78114089102115,56.49030819340902,0.8404041539599668,False,142.5730330966237,45.17367042520801,131.3353624289668,77.7308419998912,True,149.92036516926268,42.868035139124565,143.9472926728854,78.84524520776745,True,152.33617265329082,27.768865055551544,151.7998765641974,42.29790161158479,True,155.4823810256881,45.49858684788931,141.6360715342841,62.986089340023454,True,160.39982527031486,37.094686807819336,153.22144066300712,51.539649706951934,2.4663570058029083,0.6506700540736634,,,,,,,,,,
f0_std_a,False,15.66581793700412,12.677348182952306,12.269609979184096,16.834415225341786,False,22.497244677466153,21.01966519192468,13.512219245456734,23.665138144985026,0.2220151798722868,False,18.21925887952378,16.271718191496763,13.62390559573182,19.384927137662814,False,19.868449545210396,18.971045322666225,12.067708115642251,24.203065062244082,0.9667664629849445,False,19.167263028396352,13.760891131869867,14.51993040690719,22.397440470963588,False,17.574600536754364,19.963167036635802,11.83655542468956,14.904120894715454,True,20.827892023247497,17.1727718576399,13.28614208670003,30.29280526785085,False,19.488208598384876,19.521481769435535,11.96480338957337,21.052194899319034,False,19.259031923516716,17.554012127660148,10.760576599113651,16.90266871733722,1.9684082800618106,0.7415696109150448,,,,,,,,,,
f0_min_a,False,87.5743764620589,37.177873189296385,87.52444142938205,55.2867002471739,False,94.16623962099847,43.6222873148251,91.4844525425729,59.082095413863456,0.580983308748237,False,89.24261142181271,40.75444996467316,86.43263815843484,56.19243242331547,False,92.64229177757903,40.17050978457417,93.23297447275814,59.49545112311491,0.6367888374564239,False,79.13412983092917,36.622500676779815,69.26200701839326,50.80099860522348,False,93.75297998777526,42.48219978604064,94.52581716610332,62.384401548982446,True,90.40692781575252,35.43966303414798,99.39891340795945,58.76598922881448,False,100.27476296108249,49.2987912124979,89.63505776251432,84.29669987659881,True,109.58336347153426,17.234065124219665,103.8729895257492,13.426360092303753,7.143962489800605,0.12847324568102247,,,,,,,,,,
f0_max_a,False,192.7758287834947,51.88114419918954,194.06263279157395,63.98275527141408,False,227.75876940925505,123.39891890928158,192.46302999217994,96.20254530576068,0.4116325358798629,False,196.58476204246674,64.35499771503605,194.06263279157395,71.21898164293592,False,226.09130350017787,121.3599159592032,192.46302999217994,95.46271873442356,0.4165333519367076,False,197.8463909107974,60.13113842364644,191.4784013931429,58.035094732773416,False,221.0701992854513,137.11049710071242,197.8663140106766,81.40544003971235,False,216.89409266726457,87.15902275425222,210.2203409041342,73.2781320972787,True,202.08446398925938,53.72175074100774,202.3727935501742,78.96231039938942,True,215.47084824591624,76.50577122578741,199.55208924113953,142.9888476766222,0.7465320842619322,0.9454690106081082,,,,,,,,,,
f0_median_a,True,149.4415878635015,43.052689289879936,141.35460420077618,66.05634491392064,True,154.65279167576168,47.726778253734714,145.41393311271165,74.54236254045189,0.5728179815075405,True,151.59857161600732,46.89293351002754,144.30823739046,77.03866244222169,True,152.3812854282324,43.49556892724943,140.54246849221596,63.4651960033634,0.9321129015963248,True,146.4211979200543,47.58505074648464,131.1626325055627,61.38153762151309,True,149.23956434914615,42.598701532678,143.4362631647893,71.50673474703628,True,159.64972888867652,35.86214235123449,152.4863261084051,40.618294080214014,True,154.81423885413759,51.867515368980825,142.8025718779031,90.36178887725691,True,167.28881059855684,42.33150535925113,152.9576327014419,78.38840109857878,0.47086462464458745,0.7569865148392886,,,,,,,,,,
f0_25_a,True,142.05948019445984,43.77089211105139,134.8136152715105,62.763361657992164,True,142.04982126722325,50.47177684736324,133.6529355560706,69.53284110481127,0.9991976493545361,True,144.7579146393547,47.30014928117906,139.7207655998326,72.30445019608486,True,138.61457207124465,46.63265191341927,132.1637302109881,60.71952914701873,0.5217339172785742,True,134.07048829491254,53.14849538572919,123.7243151185119,78.1542840814612,True,146.26001582576347,42.56106960526997,135.6007697387656,67.56471738389068,True,147.78792668498207,31.082245196411847,143.6361558084507,33.000267836385916,True,141.53639705756845,52.733397136042065,132.3626933410947,77.52942772900779,True,150.35109797994423,42.7553736380231,132.7781392330248,63.966155818291725,0.39540706492375133,0.8114838434853837,,,,,,,,,,
f0_75_a,False,154.89674237429352,40.76641442153889,144.3083669637024,66.37812251822375,True,165.02628969780216,50.870420527222606,150.9350343300398,73.44801969789725,0.3552184834262706,True,156.8561219378718,44.89835444657482,145.71396731836035,76.18425015956909,False,163.45340182811248,47.4900906508865,148.78744220220966,72.48207208945195,0.5457574583115072,False,153.19803665659913,44.99493973243867,138.6272953872124,64.69394206542849,True,156.78330199244417,49.69464639245726,144.4843673034447,77.24441855435856,True,163.08099093302582,36.24004909787641,154.244089579041,39.07195278473171,True,171.07517783727008,46.60281443331879,186.2215621315534,75.90491938899427,True,171.7367984794799,43.689529044539235,157.03043617241548,83.70070949236779,3.2750448927238787,0.512895869868826,,,,,,,,,,
jitter_local_a,False,0.009362305804504254,0.010700405152432983,0.005792341434254944,0.005032752692813475,False,0.009110753478143387,0.005758326693253401,0.006893391704349739,0.008267139461348567,0.1922405833857198,False,0.007482793049035414,0.006039498564226559,0.005792341434254944,0.004412632198192506,False,0.011479992228161833,0.010777492814102268,0.0070552307329997625,0.010222796615917747,0.031896776978869175,False,0.009245148369229166,0.006243927894467595,0.006754929529034877,0.0064496972182192264,False,0.008536958258897111,0.007409163892217819,0.00666250912788123,0.006493712471633132,False,0.012380458455530728,0.01680603261122924,0.004953245739268477,0.004160105402697555,False,0.008448299569527988,0.00574106888352245,0.006814173814456965,0.004148699788724897,True,0.008343751638738944,0.00539985298568817,0.005557812388582395,0.00939862503235248,1.3489133212884927,0.8530237152609575,,,,,,,,,,
jitter_local_absolute_a,False,6.866963736371294e-05,7.568265240323239e-05,4.233424072822233e-05,4.031170684762435e-05,False,6.640437268162795e-05,4.870720187170692e-05,5.257158643344871e-05,7.853950599427515e-05,0.4356099080290129,False,5.5755631580117575e-05,4.809060270351172e-05,4.208839147404702e-05,4.07305922634651e-05,False,8.263444688965069e-05,7.753863792416976e-05,5.392776813309818e-05,8.565403067313413e-05,0.07894563837791174,False,7.518127683190222e-05,6.401384086506429e-05,5.306016264525786e-05,5.9812523957813046e-05,False,5.955039284186798e-05,4.647519839232756e-05,4.189027090067476e-05,4.1347576446784074e-05,False,8.366206472904551e-05,0.00011248028256008332,3.569662570468738e-05,3.398501515983326e-05,True,5.9185202494642964e-05,3.845775641473202e-05,5.175389138480959e-05,5.0894094049229475e-05,True,5.6975229897912274e-05,4.150911650767291e-05,4.524108241730976e-05,4.9442459823372784e-05,1.4799558936870467,0.8301859991586322,,,,,,,,,,
